districtid,timeid,dose1,dose2
UP_Ghaziabad,1,1367395.0,317819.0
UP_Ghazipur,1,842374.0,115732.0
UP_Gonda,1,997649.0,129900.0
UP_Gorakhpur,1,1238646.0,255319.0
UP_Hamirpur,1,314741.0,49132.0
UP_Hapur,1,360386.0,71825.0
UP_Hardoi,1,837276.0,103318.0
UP_Hathras,1,386914.0,68402.0
UP_Jalaun,1,422948.0,66235.0
UP_Jaunpur,1,958703.0,183525.0
UP_Jhansi,1,561543.0,118657.0
UP_Kannauj,1,384393.0,41133.0
UP_Kanpur Dehat,1,393291.0,58767.0
UP_Kanpur Nagar,1,1130469.0,290306.0
UP_Kasganj,1,286770.0,43001.0
UP_Kaushambi,1,296640.0,53955.0
UP_Kushinagar,1,698098.0,138961.0
UP_Lakhimpur Kheri,1,737804.0,95696.0
UP_Lalitpur,1,289870.0,34355.0
UP_Lucknow,1,1713972.0,547681.0
UP_Maharajganj,1,532658.0,96850.0
UP_Mahoba,1,303314.0,48475.0
UP_Mainpuri,1,374234.0,57213.0
UP_Mathura,1,711494.0,144991.0
UP_Mau,1,434124.0,91187.0
UP_Meerut,1,1198295.0,315643.0
UP_Mirzapur,1,700507.0,105939.0
UP_Moradabad,1,677386.0,152807.0
UP_Muzaffarnagar,1,696786.0,124525.0
UP_Pilibhit,1,472944.0,88132.0
UP_Pratapgarh,1,571849.0,105818.0
UP_Prayagraj,1,1153725.0,278520.0
UP_Rae Bareli,1,498390.0,80795.0
UP_Rampur,1,400806.0,79192.0
UP_Saharanpur,1,940308.0,195244.0
UP_Sambhal,1,379251.0,63839.0
UP_Sant Kabir Nagar,1,312162.0,53826.0
UP_Shahjahanpur,1,612030.0,104845.0
UP_Shamli,1,319256.0,64825.0
UP_Shrawasti,1,323121.0,35360.0
UP_Siddharthnagar,1,724748.0,102565.0
UP_Sitapur,1,769671.0,120138.0
UP_Sonbhadra,1,343945.0,75325.0
UP_Sultanpur,1,501554.0,106540.0
UP_Unnao,1,605005.0,110730.0
UP_Varanasi,1,1105036.0,288111.0
UT_Chamoli,1,238711.0,86546.0
UT_Champawat,1,168238.0,55175.0
UT_Dehradun,1,1067509.0,399123.0
UT_Haridwar,1,899271.0,219977.0
UT_Nainital,1,560362.0,181532.0
UT_Pauri Garhwal,1,329398.0,125273.0
UT_Pithoragarh,1,248546.0,78582.0
UT_Rudraprayag,1,162291.0,46684.0
UT_Tehri Garhwal,1,307507.0,101122.0
UT_Udham Singh Nagar,1,807126.0,180821.0
UT_Uttarkashi,1,211186.0,72232.0
